UBS_UART,,,,,,,,,
N° Mouser ,N° de fab. ,Fabricant,N° client,Description ,RoHS,Cycle de vie,Qté.,Prix (EUR),Ext. : (EUR)
798-ZX62D-B-5PA830,ZX62D-B-5PA8(30),Hirose Electric,,5P RECEPTACLE,RoHS : conforme,Nouveau produit,1,"0,574 €","0,57 €"
538-22-28-8061,22-28-8061,Molex,,2.54MM BREAKAWAY RA 6 CKT Tin,RoHS : conforme,,1,"0,353 €","0,35 €"
710-885012206071,885012206071,Wurth Electronics,,WCAP-CSGP 100000pF 0603 10% 25V MLCC,RoHS : conforme,,6,"0,04 €","0,24 €"
603-RC0603FR-071KL,RC0603FR-071KL,Yageo,,1K OHM 1%,RoHS : conforme,,4,"0,082 €","0,33 €"
603-RC0603JR-074K7L,RC0603JR-074K7L,Yageo,,4.7K OHM 5%,RoHS : conforme,,2,"0,082 €","0,16 €"
634-CP2102NA01GQFN20,CP2102N-A01-GQFN20,Silicon Laboratories,,USB to UART bridge QFN20,RoHS : conforme,Nouveau produit,1,"1,36 €","1,36 €"
700-MAX12931BASA+,MAX12931BASA+,Maxim Integrated,,"2-Channel, 3.75kVRMS Digital Isolators",RoHS : conforme,Nouveau produit,2,"1,36 €","2,72 €"
789-P3A-20100562U,P3A-20100562U,New Age Enclosures,,"USB w/Open .062"" PCB ABS Black 2x1x.5""",RoHS : conforme,,1,"2,79 €","2,79 €"
749-VLP-250-R,VLP-250-R,BIVAR,,Light Pipe Vert SMD Round Face,RoHS : conforme,,3,"0,426 €","1,28 €"
530-0ZCJ0010FF2E,0ZCJ0010FF2E,Bel,,Fuse,RoHS : conforme,,1,"0,09 €","0,09 €"
604-AP1608SRCPRV,AP1608SRCPRV,Kingbright,,RED WATER CLEAR,RoHS : conforme,,3,"0,107 €","0,32 €"
78-GMF05LC-HSF-GS08,GMF05LC-HSF-GS08,Vishay,,ESD PRO    LLP75-E4,RoHS : conforme,,2,"0,549 €","1,10 €"
